iteration(key)	values
250000 (returns)	6400.000	6600.000	7400.000	4100.000	7400.000	6400.000	6600.000	6400.000	6400.000	7400.000	6400.000	6600.000	7400.000	5800.000	7400.000	4100.000	4100.000	7400.000	6600.000	6600.000	4100.000	6400.000	4100.000	4100.000	4100.000	6600.000	6600.000	4100.000	6400.000	6600.000	4100.000	6600.000	4100.000	6600.000	6600.000	7400.000	7400.000	6600.000	4100.000	6600.000	6600.000	4100.000	7400.000	6600.000	4100.000	4100.000	6600.000	4100.000	6600.000	6400.000	6400.000	6600.000	6600.000	7400.000	7400.000	4100.000	6600.000	6600.000	6600.000	4100.000	4100.000	7400.000	6400.000	6400.000	6400.000	6600.000	7400.000	7500.000	6600.000	7400.000	6400.000	7400.000	6400.000	7400.000	4100.000	6400.000	6600.000	4100.000	4100.000	7400.000	11300.000	4100.000	7400.000	7400.000	6400.000	7400.000	7400.000	4100.000	7400.000	6600.000	6400.000	6600.000	4100.000	6600.000	6400.000	4100.000	7400.000	6400.000	6600.000	4100.000	7400.000	6600.000	6600.000	4100.000	4100.000	6400.000	6400.000	7400.000	4100.000	6600.000	7400.000	7400.000	6600.000	7400.000	4100.000	7400.000	7400.000	6400.000	7400.000	6600.000	7400.000	7400.000	6400.000	7400.000	7400.000	7400.000	4100.000	7400.000	3700.000	6600.000	4100.000	4100.000	6400.000	6400.000	4100.000	4100.000	5000.000	7400.000	6400.000	7400.000	6400.000	6400.000	7400.000	6400.000	7400.000	6400.000	6600.000	7400.000	7400.000	6600.000	6400.000	6400.000	4100.000	4100.000	25500.000
500000 (returns)	11800.000	7100.000	7100.000	11800.000	7100.000	8800.000	9900.000	11800.000	9300.000	9300.000	5000.000	11800.000	9300.000	11800.000	9300.000	9900.000	7100.000	9300.000	7100.000	9900.000	9900.000	9300.000	14600.000	9300.000	7100.000	7100.000	9900.000	11800.000	9300.000	7100.000	9500.000	9300.000	11800.000	9300.000	9300.000	9300.000	9900.000	7100.000	9900.000	9900.000	9900.000	9300.000	9300.000	8800.000	11800.000	9300.000	9900.000	9300.000	7100.000	7100.000	7100.000	7100.000	7100.000	5000.000	8800.000	5000.000	9300.000	7100.000	9300.000	5000.000	7100.000	8800.000	9900.000	7100.000	9900.000	5000.000	9300.000	7100.000	8800.000	9300.000	8400.000	7100.000	9900.000	9900.000	7100.000	11800.000	7100.000	11800.000	11800.000	9900.000	9900.000	9300.000	11800.000	5000.000	9900.000	11800.000	5000.000	9300.000	9300.000	9300.000	8800.000	5000.000	9900.000	11800.000	7100.000	8800.000	7100.000	9300.000	7100.000	11800.000	11800.000	7100.000	11800.000	11800.000	9300.000	11800.000	9300.000	8800.000	8800.000	5000.000	9300.000	9900.000	9300.000	7100.000	11800.000	9900.000	7100.000	7100.000	7100.000	11800.000	11800.000	9900.000	9900.000	7100.000	5000.000	9300.000	11800.000	5000.000	9900.000	9300.000	7100.000	11700.000	7100.000	9900.000	7100.000	9300.000	9300.000	9300.000	7100.000	5000.000	9300.000	8800.000	9300.000	8800.000	9900.000	7100.000	7100.000	7100.000	9900.000	9900.000	9300.000	9900.000	8800.000
750000 (returns)	7800.000	3800.000	7800.000	7000.000	3800.000	3800.000	6900.000	6900.000	6900.000	7800.000	7000.000	3800.000	3800.000	3800.000	7800.000	7000.000	7000.000	7800.000	6900.000	3800.000	6900.000	3800.000	7000.000	7800.000	7800.000	7000.000	8000.000	7000.000	7000.000	3800.000	7000.000	7800.000	3800.000	7000.000	3800.000	6900.000	7000.000	7000.000	6900.000	7800.000	7800.000	7800.000	7800.000	7800.000	6900.000	7800.000	7800.000	7800.000	3800.000	6900.000	7000.000	7000.000	7000.000	3900.000	3800.000	6900.000	7000.000	3800.000	3800.000	7800.000	3800.000	6900.000	3800.000	6900.000	7000.000	3800.000	3800.000	6900.000	3800.000	7000.000	6900.000	7800.000	7000.000	7800.000	3800.000	6900.000	7800.000	7000.000	7800.000	7800.000	6900.000	6900.000	3800.000	3800.000	3800.000	7000.000	3800.000	7800.000	6400.000	7000.000	7800.000	7000.000	3400.000	7800.000	3800.000	7000.000	7800.000	7800.000	6400.000	7800.000	7800.000	6900.000	7800.000	3800.000	7800.000	8700.000	7800.000	8700.000	6900.000	6900.000	7800.000	7000.000	7800.000	7800.000	7800.000	7000.000	3800.000	3800.000	9900.000	7800.000	7000.000	7800.000	6900.000	6900.000	6900.000	7800.000	6900.000	7800.000	7000.000	3800.000	3800.000	6900.000	3800.000	7800.000	7800.000	3800.000	8700.000	7800.000	6900.000	7800.000	6900.000	6900.000	3800.000	7000.000	7000.000
1000000 (returns)	9800.000	3800.000	9800.000	3800.000	3800.000	3800.000	10100.000	10100.000	3800.000	3800.000	7700.000	10100.000	13800.000	9800.000	10100.000	3800.000	3800.000	3800.000	3800.000	3800.000	3800.000	3800.000	9800.000	3800.000	3800.000	9800.000	9800.000	3800.000	3800.000	3800.000	3800.000	3800.000	3800.000	3800.000	3800.000	9400.000	9800.000	3800.000	3800.000	3800.000	10100.000	3800.000	9800.000	10400.000	3800.000	3800.000	3800.000	3800.000	3800.000	7300.000	9800.000	3800.000	8500.000	3800.000	3800.000	3800.000	3800.000	3800.000	14400.000	3800.000	3800.000	10100.000	3800.000	3800.000	3800.000	3800.000	3800.000	9800.000	9800.000	10100.000	9500.000	12200.000	10100.000	5300.000	10100.000	9800.000	3800.000	3800.000	10100.000	10100.000	3800.000	3800.000	10100.000	3800.000	3800.000	3800.000	10100.000	10100.000	3800.000	9800.000	3800.000	10100.000	9800.000	10100.000	3800.000	3800.000	9800.000	10400.000	3800.000	3800.000	9800.000	9800.000	3800.000	9800.000	3800.000	3800.000	3800.000	10100.000	3800.000	10100.000	3800.000	10100.000	9800.000	3800.000	10100.000	9800.000	10100.000	9800.000	9800.000	3800.000	3800.000	3800.000	3800.000	9800.000	3800.000	9800.000	3800.000	3800.000	9800.000	3800.000	10100.000	3800.000	10500.000	9800.000	3800.000	10100.000	10100.000	3800.000	10100.000	10100.000	9700.000	9800.000	9800.000	9800.000	3800.000	10100.000	10100.000	10100.000
1250000 (returns)	15000.000	15000.000	7800.000	8900.000	8900.000	16400.000	15100.000	8900.000	16400.000	16400.000	16400.000	16400.000	16400.000	7800.000	7800.000	15000.000	7800.000	15000.000	7800.000	8900.000	8900.000	7800.000	16400.000	15000.000	14400.000	15000.000	15000.000	8900.000	16400.000	16400.000	7800.000	8900.000	8900.000	8900.000	10300.000	7800.000	8900.000	7800.000	8900.000	14300.000	16400.000	7800.000	8900.000	8900.000	8900.000	15000.000	7600.000	15000.000	16400.000	7800.000	15000.000	8900.000	7800.000	19900.000	7800.000	7800.000	16400.000	8900.000	15000.000	7800.000	7800.000	7800.000	7800.000	16400.000	7800.000	15000.000	8900.000	7800.000	15000.000	16400.000	16400.000	7800.000	7600.000	15000.000	8900.000	7800.000	15000.000	7800.000	15000.000	7800.000	16400.000	8900.000	7800.000	16400.000	8900.000	13000.000	8900.000	15000.000	7800.000	7800.000	15000.000	15000.000	13100.000	16400.000	7800.000	15000.000	15000.000	8900.000	8900.000	14400.000	8900.000	8900.000	15000.000	8900.000	16400.000	15000.000	8900.000	16400.000	15000.000	13500.000	8900.000	8200.000	8900.000	16400.000	8900.000	15000.000	15000.000	15000.000	16400.000
1500000 (returns)	7200.000	7200.000	7400.000	7200.000	3000.000	2700.000	2700.000	3000.000	3000.000	3000.000	7400.000	3000.000	2700.000	4100.000	7200.000	7200.000	9000.000	7200.000	7400.000	7200.000	7200.000	7400.000	3000.000	2700.000	2700.000	7400.000	2700.000	7200.000	2700.000	2700.000	2700.000	7400.000	2700.000	7400.000	3000.000	7200.000	3000.000	7400.000	2700.000	2700.000	2700.000	7400.000	3000.000	3000.000	2700.000	7400.000	7200.000	7200.000	2700.000	7200.000	3000.000	3000.000	2700.000	2700.000	7200.000	7400.000	7400.000	7200.000	2700.000	3000.000	7200.000	2700.000	7200.000	7400.000	7400.000	7200.000	7200.000	7200.000	2700.000	3000.000	7400.000	7200.000	3000.000	7400.000	7200.000	3000.000	7200.000	3000.000	7700.000	3000.000	3000.000	7200.000	7400.000	2700.000	7200.000	3000.000	7400.000	7400.000	3000.000	7200.000	7200.000	3700.000	7400.000	7200.000	3000.000	2700.000	7200.000	7200.000	3000.000	7400.000	7400.000	2700.000	2700.000	2700.000	2700.000	7200.000	3000.000	3000.000	3400.000	7400.000	3000.000	3000.000	3000.000	2700.000	3000.000	2700.000	3000.000	3000.000	3000.000	7200.000	3000.000	9000.000	2700.000	7400.000	3000.000	3000.000	7400.000	3000.000	7400.000	7200.000	2700.000	2700.000	2700.000	3000.000	3000.000	7200.000	7200.000	7200.000	7400.000	3000.000	3000.000	3000.000	3000.000	3000.000	7200.000	7400.000	8300.000	2700.000	3000.000	2700.000	3000.000	7200.000	2700.000	7200.000	7200.000	3000.000	3400.000	7200.000	3000.000	7400.000	7200.000	7200.000	2700.000	2700.000	2700.000	2700.000	2700.000	7200.000	7200.000	7200.000	3000.000	7400.000	7200.000	3000.000	3000.000	2700.000	7400.000	7200.000	3000.000	7400.000	5700.000	8000.000	3000.000	2700.000	2700.000	7400.000	7400.000	7400.000	3000.000	3000.000	7400.000	3000.000	7400.000
1750000 (returns)	7300.000	9000.000	6000.000	6000.000	9000.000	6000.000	9000.000	9000.000	7300.000	7300.000	9000.000	2800.000	9000.000	7300.000	6000.000	9000.000	7300.000	7300.000	9000.000	10300.000	9000.000	7300.000	7300.000	7300.000	9000.000	6000.000	6000.000	2800.000	9000.000	6000.000	6000.000	2800.000	7300.000	7300.000	6000.000	6000.000	9000.000	9000.000	2800.000	6000.000	6000.000	6000.000	6000.000	2800.000	9000.000	7300.000	6000.000	9000.000	7300.000	6000.000	2800.000	9000.000	9000.000	2800.000	7300.000	7300.000	7300.000	7300.000	2800.000	7300.000	2800.000	2800.000	6000.000	6000.000	7300.000	7300.000	9000.000	6000.000	9000.000	6000.000	9000.000	9000.000	9000.000	2800.000	7300.000	7300.000	2800.000	7300.000	2800.000	9000.000	7300.000	9000.000	6000.000	2800.000	7300.000	9000.000	6000.000	7300.000	9000.000	9000.000	6000.000	9000.000	6000.000	6000.000	2800.000	7300.000	9000.000	9000.000	9000.000	9000.000	6000.000	6000.000	6000.000	9000.000	2800.000	6000.000	7300.000	7300.000	7300.000	9000.000	6000.000	2800.000	9000.000	7300.000	7300.000	6000.000	2800.000	5800.000	9000.000	9000.000	6000.000	9000.000	2800.000	6000.000	9000.000	7300.000	2800.000	7300.000	9000.000	2800.000	7300.000	2800.000	2800.000	9000.000	9000.000	6000.000	6000.000	9000.000	2800.000	6000.000	9100.000	9000.000	6000.000	6000.000	6000.000	9000.000	9000.000	9000.000	7300.000	7300.000	9000.000	9000.000	6000.000	2800.000	9000.000	9000.000	6000.000	9000.000	7300.000	2800.000	2800.000	9000.000	9000.000	6000.000	2800.000	7300.000	3700.000	6000.000	6400.000	9000.000	7300.000
2000000 (returns)	3600.000	2800.000	1900.000	2800.000	1900.000	1900.000	2800.000	1900.000	3600.000	1900.000	1900.000	3600.000	1900.000	1900.000	2800.000	1900.000	1900.000	1900.000	3600.000	1900.000	1900.000	3600.000	1900.000	2800.000	3600.000	1900.000	3600.000	1900.000	2800.000	1900.000	2800.000	3600.000	1900.000	3600.000	2300.000	1900.000	2800.000	2800.000	2800.000	1900.000	1900.000	1900.000	1900.000	1900.000	2800.000	1900.000	2800.000	3600.000	1900.000	1900.000	1900.000	1900.000	2800.000	1900.000	3600.000	3600.000	1900.000	2800.000	2800.000	2800.000	3600.000	1900.000	1900.000	2800.000	1900.000	2800.000	1900.000	1900.000	3600.000	2800.000	1900.000	2800.000	3600.000	2800.000	3600.000	3600.000	3600.000	1900.000	1900.000	3600.000	3600.000	3000.000	3600.000	1900.000	1900.000	1900.000	1900.000	3600.000	3600.000	2800.000	1900.000	2800.000	1900.000	1900.000	1900.000	1900.000	3600.000	3600.000	1900.000	3600.000	2800.000	1900.000	3600.000	1900.000	3600.000	1900.000	2300.000	3600.000	1900.000	3600.000	3600.000	1900.000	1900.000	1900.000	2800.000	1900.000	3600.000	1900.000	2600.000	1900.000	3600.000	1900.000	2800.000	1900.000	1900.000	2800.000	1900.000	1900.000	3600.000	1900.000	1900.000	3600.000	3600.000	3600.000	3600.000	2800.000	1900.000	1900.000	1900.000	2800.000	2800.000	3600.000	1900.000	1900.000	3600.000	3600.000	2800.000	1900.000	3600.000	3600.000	2800.000	3600.000	2800.000	1900.000	2800.000	2100.000	2800.000	1900.000	3600.000	1900.000	1900.000	1900.000	1900.000	2800.000	1900.000	1900.000	2800.000	3600.000	1900.000	3600.000	3600.000	1900.000	1900.000	1900.000	1900.000	3600.000	1900.000	2800.000	2800.000	2800.000	2800.000	1900.000	2800.000	2800.000	1900.000	3600.000	1900.000	1900.000	1900.000	1900.000	1900.000	1900.000	3600.000	3600.000	1900.000	1900.000	2800.000	3600.000	1900.000	2800.000	1900.000	2800.000	3600.000	2800.000	2800.000	3600.000	1900.000	2800.000	2800.000	2800.000	1900.000	3000.000	4200.000	2800.000	1900.000	3600.000	3600.000	1900.000	2800.000	1900.000	1900.000	1900.000	1900.000	1900.000	1900.000	2800.000	1900.000	1900.000	1900.000
2250000 (returns)	20400.000	20400.000	26300.000	20600.000	28200.000	58200.000	58200.000	20400.000	26300.000	58200.000	20400.000	62100.000	26300.000	20600.000	20400.000	26400.000	26300.000	26300.000	26400.000	26400.000	20600.000	58200.000	58200.000	18600.000	42500.000	20400.000	26400.000	26300.000	26400.000	37900.000	20400.000	27100.000	26300.000	26400.000	23100.000	58200.000	20400.000	57000.000	26400.000	26400.000	26400.000	26300.000	26400.000	29300.000	54200.000	58200.000	20400.000	26400.000	26400.000	20400.000	26300.000	26300.000	18500.000	26400.000	58200.000	20600.000	26300.000	20400.000	26400.000	20400.000	26300.000	26300.000	58200.000	53600.000	19300.000	26400.000	40300.000	26300.000	20400.000	43300.000	58200.000
2500000 (returns)	19200.000	19200.000	14800.000	19200.000	19200.000	20500.000	20500.000	19200.000	20500.000	14800.000	19200.000	16500.000	16500.000	19200.000	14800.000	20500.000	19200.000	25700.000	24100.000	16500.000	16500.000	16500.000	27200.000	14800.000	20500.000	20500.000	20500.000	19200.000	16500.000	20500.000	19200.000	16500.000	20500.000	14800.000	16500.000	16500.000	19200.000	16500.000	16500.000	19200.000	19200.000	16500.000	20500.000	14800.000	14800.000	20500.000	16500.000	19200.000	16500.000	20500.000	14800.000	14800.000	20500.000	14800.000	19200.000	16500.000	19200.000	16500.000	16500.000	20900.000	14800.000	16500.000	16500.000	20500.000	19200.000	16500.000	20500.000	19200.000	20500.000	16500.000	13500.000	16500.000	14800.000	19200.000	19200.000	14800.000	19200.000	14800.000	19200.000	19200.000	14800.000	16500.000	14800.000	20500.000	16500.000	14800.000	16500.000	20500.000	14800.000	19200.000	16500.000	16500.000	26700.000	19200.000	14800.000	14800.000	19200.000	19200.000	16500.000	26600.000	16500.000	20500.000	16500.000
