iteration(key)	values
250000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	100.000
500000 (returns)	100.000	100.000	0.000	100.000	100.000	100.000	100.000	100.000	0.000	8.000	0.000	0.000	0.000	0.000	100.000	100.000	100.000	100.000	0.000	0.000	0.000	100.000	100.000	100.000	0.000	0.000	0.000	0.000	100.000	0.000	100.000	100.000	0.000	100.000	100.000	100.000	0.000	0.000	0.000	100.000	100.000	100.000	100.000	100.000	100.000	0.000
750000 (returns)	-1000.000	14337.000	-931.000	-947.000	4343.000	-1000.000	-1000.000	-1000.000	-1000.000	-1000.000	-375.000	-938.000	14303.000	0.000	-1000.000	0.000	0.000	0.000	14000.000	-935.000	-874.000	-872.000	14000.000	14112.000	0.000	-1000.000	4053.000	-1000.000	-633.000	4052.000	14083.000	4055.000	0.000	-1000.000	14675.000	-1000.000	-1000.000	-878.000	-1000.000	13841.000	-41.000	4141.000	-805.000	-447.000	-1000.000	-1000.000
1000000 (returns)	-133.000	-107.000	-322.000	-1000.000	-114.000	-39.000	-1000.000	-43.000	-113.000	-118.000	-57.000	-115.000	-1000.000	-43.000	-62.000	-43.000	-119.000	0.000	-1000.000	-219.000	0.000	-1000.000	-137.000	0.000	-113.000	-44.000	-114.000	-175.000	-64.000	-179.000	-124.000	-199.000	-148.000	-900.000	-203.000	-1000.000	-76.000	-112.000	-65.000	-175.000	-120.000	-128.000	-39.000	-156.000	-93.000	-249.000
1250000 (returns)	100.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	100.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1500000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1750000 (returns)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000	0.000	100.000	100.000	100.000	0.000	100.000	100.000	100.000	0.000	100.000	0.000	0.000	100.000	100.000	0.000	0.000	0.000	100.000	100.000	0.000	100.000	100.000	100.000	0.000	100.000	100.000	0.000	0.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000
2000000 (returns)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	14700.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	-300.000	14700.000	100.000	100.000	-300.000	100.000	100.000	100.000	100.000	100.000	14700.000	-300.000	100.000	100.000	100.000	0.000	0.000
2250000 (returns)	100.000	100.000	100.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	-1000.000	0.000	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-487.000	0.000	0.000	0.000	0.000	100.000	0.000	0.000	0.000	100.000	0.000
2500000 (returns)	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	0.000	100.000	100.000	100.000	100.000
