iteration	mean	std_dev
5000	29.406	11.815
10000	37.929	7.241
15000	36.253	10.473
20000	39.505	9.543
25000	38.367	10.243
30000	41.213	4.783
35000	41.983	2.796
40000	42.409	5.071
45000	42.833	1.054
50000	43.413	1.911
55000	43.248	1.065
60000	43.397	0.995
65000	41.699	9.436
70000	42.952	6.761
75000	43.635	3.091
80000	44.091	1.197
85000	43.986	0.754
90000	44.214	2.018
95000	44.236	0.746
100000	44.407	0.754
105000	44.376	0.760
110000	44.171	0.966
115000	44.302	1.278
120000	44.567	0.703
125000	44.330	0.824
130000	44.561	0.750
135000	44.566	0.833
140000	44.809	0.776
145000	44.527	0.653
150000	44.640	0.886
155000	44.422	0.808
160000	44.704	0.834
165000	44.931	0.964
170000	44.960	0.808
175000	45.130	0.937
180000	44.999	0.797
185000	44.736	0.800
190000	44.779	1.137
195000	45.065	0.918
200000	44.974	0.758
205000	44.937	0.777
210000	45.355	0.766
215000	45.336	0.841
220000	45.493	0.866
225000	45.144	0.838
230000	45.290	0.871
235000	44.928	0.969
240000	45.110	1.017
245000	45.373	0.684
250000	44.934	0.720
255000	44.977	0.785
260000	45.028	0.847
265000	44.965	0.864
270000	45.555	0.839
275000	45.005	0.873
280000	45.382	0.898
285000	45.382	0.871
290000	45.216	0.828
295000	45.237	0.844
300000	45.278	0.838
305000	45.502	0.695
310000	45.531	0.727
315000	45.498	0.678
320000	45.354	0.666
325000	45.050	0.670
330000	45.224	0.697
335000	45.326	0.762
340000	45.487	0.563
345000	45.535	0.880
350000	45.603	0.798
355000	45.294	0.912
360000	45.654	0.858
365000	45.282	0.684
370000	45.063	0.714
375000	45.500	0.830
380000	45.203	0.732
385000	45.205	0.816
390000	45.333	0.842
395000	45.333	0.771
400000	45.500	0.730
405000	45.217	0.773
410000	45.623	0.692
415000	45.495	0.647
420000	45.440	0.743
425000	45.294	0.506
430000	45.576	0.631
435000	45.283	0.755
440000	45.365	0.782
445000	45.565	0.777
450000	45.499	0.770
455000	45.992	0.681
460000	45.202	0.845
465000	45.646	0.769
470000	45.486	0.858
475000	45.182	0.726
480000	45.397	0.749
485000	45.476	0.736
490000	45.591	0.874
495000	45.544	1.018
500000	45.574	0.687
505000	45.464	0.988
510000	45.622	0.767
515000	45.482	0.856
520000	45.714	0.715
525000	45.762	0.798
530000	45.647	0.552
535000	45.489	0.615
540000	45.723	0.721
545000	45.526	0.749
550000	45.508	0.554
555000	45.696	0.710
560000	45.522	0.772
565000	45.523	0.857
570000	45.818	0.762
575000	45.610	0.837
580000	45.447	0.881
585000	45.385	0.853
590000	45.754	0.740
595000	45.496	0.823
600000	45.758	0.635
605000	45.369	0.684
610000	45.462	0.864
615000	45.574	0.940
620000	45.877	0.806
625000	45.429	0.725
630000	45.685	0.660
635000	45.663	0.825
640000	45.567	0.643
645000	45.729	0.615
650000	45.576	0.773
655000	45.696	0.670
660000	46.042	0.737
665000	45.604	0.639
670000	45.380	0.690
675000	45.559	0.790
680000	45.677	0.610
685000	45.631	0.604
690000	45.625	0.587
695000	45.665	0.758
700000	45.852	0.893
705000	45.620	0.674
710000	45.672	0.949
715000	45.695	0.613
720000	45.524	0.856
725000	45.638	0.712
730000	46.163	0.591
735000	45.495	0.781
740000	45.738	0.674
745000	45.569	0.868
750000	45.742	0.869
755000	45.414	0.681
760000	45.618	0.664
765000	45.476	0.812
770000	45.745	0.648
775000	45.389	0.742
780000	45.900	0.673
785000	45.793	0.673
790000	45.486	0.805
795000	45.774	0.745
800000	45.630	0.699
805000	45.618	0.731
810000	45.619	0.772
815000	45.404	0.701
820000	45.812	0.640
825000	45.788	0.770
830000	44.508	6.053
835000	45.613	0.586
840000	46.014	0.806
845000	45.655	0.705
850000	45.613	0.667
855000	45.785	0.848
860000	45.780	0.703
865000	45.710	0.683
870000	45.773	0.672
875000	45.748	0.878
880000	45.701	0.623
885000	45.563	0.778
890000	45.656	0.807
895000	45.677	0.860
900000	45.723	0.649
905000	45.709	0.769
910000	45.508	0.878
915000	45.581	0.815
920000	45.662	0.602
925000	45.939	0.759
930000	45.518	0.710
935000	45.675	0.801
940000	45.696	0.857
945000	45.701	0.599
950000	45.891	0.596
955000	45.684	0.697
960000	45.861	0.585
965000	45.830	0.623
970000	45.635	0.721
975000	45.742	0.715
980000	45.636	0.663
985000	45.743	0.619
990000	45.819	0.692
995000	45.951	0.768
1000000	45.675	0.905
