iteration(key)	values
42750000 (returns)	245.000
43000000 (returns)	257.000	266.000	195.000
43250000 (returns)	248.000	246.000
43500000 (returns)	231.000	245.000
43750000 (returns)	268.000
44000000 (returns)	245.000
44250000 (returns)	156.000	234.000	156.000	249.000
44500000 (returns)	240.000
44750000 (returns)	262.000
45000000 (returns)	266.000	254.000
45250000 (returns)	232.000
45500000 (returns)	259.000
45750000 (returns)	123.000	123.000	244.000
46000000 (returns)	285.000
46250000 (returns)	233.000
46500000 (returns)	273.000	285.000	247.000
46750000 (returns)	321.000	239.000	264.000	287.000
47000000 (returns)	246.000
47250000 (returns)	308.000	263.000
47500000 (returns)	237.000
47750000 (returns)	307.000	309.000
48000000 (returns)	265.000	251.000	109.000	274.000	139.000	221.000
48250000 (returns)	268.000
48500000 (returns)	279.000	217.000
48750000 (returns)	233.000
49000000 (returns)	208.000
49250000 (returns)	279.000
49500000 (returns)	287.000
49750000 (returns)	268.000	265.000
50000000 (returns)	304.000
