iteration(key)	values
250000 (returns)	800.000	660.000	800.000	800.000	800.000	680.000	700.000	600.000	740.000	660.000	580.000	720.000	620.000	620.000	540.000	720.000	620.000	800.000	760.000	760.000	840.000	800.000	760.000	640.000	780.000	780.000	700.000	820.000	760.000	820.000	680.000	640.000	740.000	740.000	640.000	820.000	800.000	760.000	540.000	600.000	780.000	600.000	720.000	800.000	800.000	760.000	820.000	800.000	820.000	600.000	780.000	760.000	640.000	620.000	680.000	780.000	640.000	760.000	820.000
500000 (returns)	820.000	700.000	840.000	660.000	860.000	800.000	660.000	680.000	500.000	560.000	660.000	520.000	480.000	680.000	300.000	700.000	620.000	600.000	260.000	740.000	820.000	560.000	660.000	720.000	640.000	680.000	640.000	760.000	660.000	840.000	760.000	380.000	680.000	640.000	580.000	780.000	780.000	780.000	620.000	440.000	720.000	740.000	460.000	640.000	760.000	780.000	820.000	520.000	800.000	740.000	840.000	840.000	660.000	680.000	820.000	780.000	800.000	840.000	580.000	700.000	680.000	760.000	640.000	700.000	680.000
750000 (returns)	700.000	800.000	780.000	780.000	820.000	840.000	720.000	820.000	800.000	620.000	680.000	860.000	680.000	820.000	720.000	660.000	500.000	700.000	620.000	820.000	760.000	740.000	720.000	860.000	800.000	760.000	800.000	740.000	600.000	660.000	880.000	740.000	800.000	820.000	780.000	760.000	520.000	600.000	880.000	780.000	800.000	800.000	680.000	780.000	720.000	660.000	860.000	660.000	620.000	640.000	660.000	760.000	480.000	840.000	600.000	840.000	840.000	680.000	660.000	840.000	780.000
1000000 (returns)	800.000	820.000	660.000	840.000	840.000	720.000	680.000	640.000	640.000	540.000	820.000	840.000	840.000	680.000	700.000	860.000	880.000	620.000	840.000	840.000	820.000	680.000	860.000	800.000	840.000	720.000	720.000	860.000	820.000	680.000	740.000	800.000	700.000	820.000	740.000	720.000	860.000	820.000	880.000	720.000	840.000	740.000	740.000	620.000	840.000	600.000	560.000	760.000	820.000	860.000	820.000	820.000	800.000	640.000	700.000	840.000	660.000	880.000	700.000	860.000
1250000 (returns)	780.000	700.000	840.000	880.000	860.000	880.000	860.000	860.000	900.000	840.000	880.000	800.000	880.000	840.000	860.000	820.000	880.000	860.000	880.000	860.000	800.000	840.000	700.000	820.000	880.000	720.000	780.000	860.000	880.000	720.000	880.000	860.000	700.000	720.000	860.000	760.000	860.000	800.000	860.000	820.000	660.000	700.000	840.000	880.000	880.000	880.000	840.000	720.000	880.000	880.000	880.000	660.000	780.000	860.000	840.000	860.000	640.000
1500000 (returns)	880.000	880.000	860.000	900.000	780.000	880.000	900.000	880.000	880.000	860.000	880.000	860.000	880.000	900.000	860.000	900.000	880.000	880.000	880.000	880.000	880.000	900.000	900.000	880.000	860.000	900.000	860.000	800.000	880.000	880.000	880.000	880.000	880.000	760.000	880.000	860.000	900.000	880.000	880.000	780.000	880.000	880.000	880.000	860.000	880.000	880.000	860.000	860.000	860.000	880.000	860.000	860.000	880.000	840.000	860.000
1750000 (returns)	840.000	840.000	880.000	840.000	860.000	840.000	640.000	880.000	860.000	860.000	840.000	780.000	860.000	880.000	860.000	860.000	880.000	880.000	880.000	880.000	860.000	880.000	860.000	840.000	880.000	900.000	840.000	860.000	900.000	880.000	860.000	840.000	880.000	760.000	880.000	880.000	880.000	700.000	880.000	860.000	900.000	840.000	880.000	720.000	860.000	840.000	880.000	880.000	860.000	840.000	880.000	860.000	880.000	880.000	880.000	820.000
2000000 (returns)	860.000	880.000	880.000	840.000	900.000	880.000	880.000	880.000	860.000	840.000	860.000	880.000	860.000	860.000	880.000	800.000	880.000	880.000	880.000	860.000	860.000	820.000	860.000	880.000	860.000	860.000	660.000	680.000	820.000	860.000	860.000	840.000	880.000	880.000	720.000	900.000	860.000	860.000	920.000	900.000	840.000	860.000	860.000	780.000	880.000	860.000	880.000	860.000	880.000	880.000	860.000	880.000	700.000	880.000	880.000	880.000
2250000 (returns)	820.000	880.000	840.000	860.000	820.000	740.000	840.000	860.000	840.000	920.000	820.000	880.000	840.000	840.000	760.000	880.000	840.000	780.000	860.000	840.000	920.000	820.000	840.000	860.000	860.000	900.000	840.000	840.000	900.000	840.000	860.000	840.000	820.000	880.000	760.000	900.000	840.000	760.000	860.000	820.000	820.000	900.000	880.000	820.000	920.000	840.000	780.000	860.000	860.000	820.000	840.000	880.000	860.000	840.000	880.000	800.000	900.000	880.000
2500000 (returns)	920.000	860.000	1100.000	940.000	880.000	920.000	840.000	760.000	600.000	760.000	920.000	740.000	860.000	960.000	920.000	980.000	860.000	1000.000	920.000	880.000	980.000	960.000	900.000	860.000	900.000	920.000	880.000	940.000	820.000	940.000	940.000	920.000	800.000	740.000	980.000	820.000	940.000	920.000	960.000	860.000	820.000	900.000	820.000	860.000	980.000	780.000	900.000	920.000	900.000	880.000	860.000	1020.000	960.000	860.000	860.000	940.000	840.000	1000.000	860.000	1020.000
2750000 (returns)	1500.000	920.000	960.000	1100.000	1260.000	880.000	1340.000	1440.000	1560.000	1160.000	1080.000	1080.000	660.000	780.000	600.000	1060.000	880.000	1200.000	1040.000	640.000	1060.000	1220.000	1460.000	1140.000	1240.000	1420.000	920.000	1040.000	900.000	1140.000	1160.000	1240.000	680.000	860.000	1300.000	1320.000	1160.000	980.000	660.000	1260.000	1120.000	740.000	1120.000	1060.000	1400.000	1320.000	1060.000	1080.000	1180.000	1380.000	820.000	1320.000	980.000	1240.000	1240.000	680.000	1020.000	1460.000	1360.000	1360.000	800.000	820.000	1080.000	760.000	620.000	1460.000	1440.000	900.000	1200.000	1220.000	1260.000	1180.000
3000000 (returns)	1180.000	1220.000	1300.000	1460.000	1360.000	1320.000	1300.000	1500.000	1420.000	1040.000	1100.000	1680.000	1500.000	1100.000	1320.000	880.000	1200.000	1380.000	1520.000	1620.000	1040.000	380.000	1520.000	1360.000	1240.000	1220.000	1480.000	1080.000	1580.000	1620.000	1320.000	1400.000	1580.000	1160.000	740.000	1340.000	1560.000	980.000	1980.000	1580.000	1520.000	1040.000	1540.000	1260.000	1420.000	1540.000	1600.000	1080.000	1440.000	1240.000	1380.000	1420.000	1440.000	1340.000	1220.000	1180.000	760.000	1580.000	1480.000	1000.000	1120.000	580.000	1580.000	1580.000	1380.000
3250000 (returns)	1600.000	1580.000	1360.000	1620.000	1620.000	1680.000	1300.000	1660.000	1080.000	1660.000	1240.000	1580.000	1720.000	1680.000	1340.000	1640.000	1300.000	1400.000	1400.000	1660.000	1240.000	1380.000	1580.000	1240.000	1340.000	1560.000	1480.000	1600.000	1480.000	1280.000	1680.000	1420.000	1460.000	1680.000	1400.000	1260.000	1340.000	1680.000	1660.000	1700.000	1440.000	1640.000	1440.000	1640.000	1540.000	1540.000	1620.000	1700.000	1540.000	1360.000	1680.000	1600.000	1620.000	1620.000	1280.000	1580.000	1620.000	1460.000	1660.000
3500000 (returns)	1660.000	1680.000	1660.000	1680.000	1460.000	1220.000	1640.000	1680.000	1640.000	1480.000	1620.000	1320.000	1680.000	1700.000	1040.000	1620.000	1420.000	1640.000	1560.000	1400.000	1620.000	1620.000	1640.000	1440.000	1680.000	1660.000	1660.000	1620.000	1340.000	1640.000	1660.000	1660.000	1340.000	1440.000	1680.000	1180.000	1520.000	1520.000	1660.000	1560.000	1620.000	1980.000	1300.000	2040.000	1660.000	1660.000	1560.000	1660.000	1720.000	1640.000	1440.000	1480.000	1000.000	860.000	1620.000	1220.000	1620.000	1440.000
3750000 (returns)	1680.000	1720.000	1720.000	1700.000	1460.000	1640.000	1740.000	1500.000	1660.000	1680.000	1740.000	1660.000	1660.000	1660.000	1600.000	1740.000	1680.000	1720.000	1680.000	1700.000	1660.000	1680.000	1520.000	1300.000	1540.000	1700.000	1720.000	1680.000	1380.000	1700.000	1660.000	1720.000	1480.000	1720.000	1740.000	1700.000	1660.000	1740.000	1360.000	1520.000	1720.000	1520.000	1720.000	1680.000	1740.000	1700.000	1680.000	1720.000	1600.000	1720.000	1720.000	1660.000	1400.000	1660.000	1700.000	1660.000
