iteration(key)	values
250000 (returns)	18.000	14.000	18.000	11.000	24.000	23.000	59.000	21.000	29.000	31.000	35.000	10.000	20.000	33.000	36.000	20.000	34.000	24.000	25.000	45.000	22.000	7.000	27.000	18.000	12.000	22.000	30.000	24.000	10.000	16.000	39.000	19.000	19.000	13.000	17.000	23.000	12.000	3.000	26.000	28.000	39.000	17.000	28.000	24.000
500000 (returns)	1.000	1.000	10.000	4.000	5.000	1.000	4.000	2.000	7.000	9.000	7.000	6.000	3.000	8.000	3.000	7.000	2.000	18.000	4.000	6.000	4.000	1.000	11.000	6.000	5.000	12.000	8.000	5.000	7.000	4.000	6.000	1.000	9.000	6.000	3.000	4.000	3.000	3.000	7.000	0.000	8.000	5.000	0.000
750000 (returns)	0.000	3.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	2.000	0.000	3.000	0.000	2.000	0.000	0.000	4.000	0.000	0.000	0.000	0.000	0.000	3.000	1.000	3.000	3.000	1.000	2.000	0.000	0.000	1.000	0.000	3.000	0.000
1000000 (returns)	30.000	33.000	26.000	33.000	31.000	35.000	33.000	31.000	30.000	36.000	39.000	35.000	30.000	33.000	35.000	33.000	28.000	27.000	34.000	27.000	33.000	36.000	35.000	25.000	29.000	28.000	33.000	33.000	37.000	36.000	36.000	34.000	33.000	35.000	15.000	33.000	16.000	35.000	34.000	28.000	35.000	33.000	35.000	33.000	34.000	36.000	34.000	33.000	35.000	33.000	27.000	34.000	27.000	35.000	33.000	27.000	35.000	33.000
1250000 (returns)	21.000	27.000	28.000	21.000	21.000	27.000	21.000	21.000	40.000	24.000	24.000	27.000	24.000	21.000	24.000	27.000	27.000	21.000	21.000	21.000	28.000	28.000	24.000	21.000	27.000	30.000	37.000	24.000	24.000	22.000	24.000	27.000	37.000	28.000	27.000	21.000	22.000	21.000	21.000	29.000	21.000	21.000	24.000	37.000	30.000	27.000	24.000	21.000	21.000	27.000	24.000	24.000	28.000	41.000	28.000	27.000	21.000	27.000	21.000
1500000 (returns)	30.000	28.000	30.000	30.000	22.000	30.000	30.000	26.000	30.000	30.000	28.000	18.000	30.000	16.000	30.000	28.000	30.000	30.000	30.000	30.000	24.000	30.000	18.000	26.000	30.000	30.000	30.000	30.000	30.000	30.000	28.000	30.000	30.000	30.000	30.000	26.000	24.000	30.000	14.000	26.000	28.000	30.000	24.000	26.000	30.000	30.000	30.000	26.000	26.000	16.000	30.000	26.000	30.000	22.000	30.000	30.000	30.000
1750000 (returns)	24.000	24.000	24.000	30.000	30.000	30.000	30.000	30.000	24.000	24.000	30.000	30.000	24.000	30.000	24.000	24.000	24.000	30.000	30.000	15.000	24.000	24.000	24.000	24.000	15.000	30.000	24.000	30.000	30.000	24.000	30.000	15.000	30.000	30.000	24.000	30.000	24.000	24.000	24.000	30.000	15.000	24.000	30.000	24.000	24.000	24.000	30.000	24.000	15.000	30.000	18.000	30.000	30.000	15.000	30.000	24.000	15.000	30.000
2000000 (returns)	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	28.000	30.000	30.000	30.000	30.000	30.000	28.000	28.000	30.000	30.000	30.000	30.000	28.000	30.000	30.000	28.000	30.000	28.000	27.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	33.000	30.000	26.000	30.000	30.000	28.000	26.000	26.000	30.000	31.000	30.000	30.000	30.000	30.000	26.000	30.000	30.000	30.000	30.000	30.000
2250000 (returns)	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	28.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	30.000	28.000	30.000	30.000	28.000	30.000	30.000
2500000 (returns)	18.000	18.000	30.000	15.000	15.000	18.000	15.000	15.000	30.000	15.000	15.000	15.000	15.000	15.000	18.000	27.000	27.000	30.000	15.000	18.000	15.000	18.000	30.000	15.000	30.000	15.000	18.000	18.000	15.000	18.000	15.000	40.000	16.000	16.000	30.000	24.000	27.000	18.000	15.000	15.000	15.000	18.000	18.000	30.000	15.000	15.000	15.000	15.000	15.000	30.000	15.000	18.000	15.000	30.000	30.000	18.000	25.000	15.000	20.000	24.000
2750000 (returns)	37.000	30.000	44.000	37.000	30.000	36.000	30.000	37.000	30.000	40.000	30.000	30.000	45.000	33.000	34.000	33.000	40.000	35.000	30.000	31.000	35.000	30.000	30.000	36.000	30.000	31.000	31.000	30.000	30.000	30.000	31.000	36.000	33.000	46.000	30.000	31.000	40.000	33.000	34.000	28.000	30.000	30.000	30.000	30.000	33.000	30.000	30.000	30.000	34.000	33.000	30.000	35.000	30.000	50.000	30.000	30.000	47.000	34.000
3000000 (returns)	36.000	52.000	58.000	67.000	55.000	36.000	58.000	58.000	52.000	41.000	72.000	46.000	56.000	68.000	55.000	65.000	53.000	50.000	58.000	68.000	70.000	53.000	32.000	63.000	53.000	53.000	44.000	45.000	36.000	74.000	62.000	63.000	48.000	52.000	43.000	42.000	46.000	62.000	48.000	53.000	36.000	64.000	71.000	78.000	52.000	39.000	57.000	57.000	39.000	49.000	85.000	53.000	43.000	18.000	59.000	55.000	36.000	55.000
3250000 (returns)	18.000	20.000	30.000	30.000	20.000	18.000	22.000	22.000	12.000	14.000	18.000	22.000	18.000	28.000	28.000	14.000	18.000	16.000	12.000	14.000	16.000	30.000	28.000	14.000	30.000	30.000	12.000	30.000	16.000	28.000	14.000	20.000	30.000	22.000	20.000	30.000	16.000	14.000	14.000	30.000	12.000	12.000	18.000	30.000	16.000	28.000	18.000	20.000	30.000	28.000	14.000	14.000	20.000	14.000	14.000	12.000	28.000	18.000
3500000 (returns)	30.000	18.000	28.000	18.000	16.000	16.000	24.000	20.000	23.000	16.000	30.000	19.000	23.000	16.000	17.000	24.000	30.000	18.000	28.000	20.000	20.000	20.000	18.000	30.000	18.000	30.000	30.000	18.000	27.000	20.000	24.000	18.000	18.000	30.000	24.000	30.000	30.000	20.000	20.000	20.000	26.000	18.000	22.000	24.000	22.000	23.000	30.000	20.000	20.000	20.000	20.000	24.000	16.000	15.000	18.000	28.000
