iteration	mean	std_dev
5000	21.824	17.058
10000	33.363	14.162
15000	42.310	23.961
20000	21.826	8.970
25000	31.473	20.080
30000	59.492	17.518
35000	43.549	24.155
40000	51.091	20.354
45000	47.655	31.124
50000	54.711	21.196
55000	69.034	16.433
60000	65.947	20.662
65000	60.664	23.113
70000	55.606	23.228
75000	72.160	16.716
80000	74.172	16.161
85000	68.548	19.223
90000	70.345	18.072
95000	73.714	15.100
100000	72.666	18.895
105000	75.668	15.205
110000	74.733	15.678
115000	72.486	19.047
120000	65.712	21.240
125000	73.417	19.383
130000	72.913	17.171
135000	77.783	10.817
140000	70.347	17.880
145000	75.040	15.034
150000	58.928	27.426
155000	73.228	16.333
160000	77.356	14.867
165000	77.979	10.961
170000	76.271	15.587
175000	77.187	12.427
180000	74.853	15.997
185000	70.627	24.628
190000	75.424	20.115
195000	79.753	8.113
200000	79.047	14.791
205000	71.407	20.458
210000	80.729	5.871
215000	76.440	12.675
220000	69.826	24.826
225000	75.371	13.505
230000	80.758	7.785
235000	80.314	12.497
240000	79.003	11.197
245000	79.004	11.408
250000	80.356	10.182
255000	76.336	13.269
260000	76.522	15.795
265000	74.658	18.136
270000	82.569	3.754
275000	79.157	11.033
280000	80.639	10.638
285000	82.422	4.271
290000	82.977	7.880
295000	75.269	19.428
300000	79.258	13.118
305000	81.437	5.843
310000	80.465	12.673
315000	76.742	14.784
320000	82.791	2.155
325000	79.370	11.328
330000	82.032	4.428
335000	81.628	3.628
340000	81.253	11.377
345000	82.709	1.636
350000	81.199	14.091
355000	81.135	4.755
360000	81.354	6.079
365000	81.943	2.041
370000	79.103	11.949
375000	77.406	15.571
380000	77.611	12.340
385000	79.668	10.212
390000	81.436	7.969
395000	78.610	9.308
400000	75.122	15.060
405000	80.656	6.213
410000	77.789	7.362
415000	80.362	2.556
420000	80.362	9.014
425000	79.718	9.996
430000	82.548	1.288
435000	81.766	5.556
440000	80.061	10.080
445000	78.813	11.749
450000	82.373	1.931
455000	78.840	7.843
460000	80.043	8.680
465000	82.051	1.938
470000	81.064	3.622
475000	82.975	2.757
480000	79.539	8.629
485000	81.141	1.265
490000	81.721	5.275
495000	80.796	12.483
500000	72.770	18.467
505000	80.576	6.104
510000	82.767	2.139
515000	78.740	9.160
520000	81.412	1.938
525000	81.215	3.610
530000	79.164	10.548
535000	79.934	7.127
540000	81.406	8.086
545000	78.469	12.132
550000	82.195	2.068
555000	81.951	1.704
560000	82.040	5.126
565000	77.286	16.973
570000	81.620	2.110
575000	75.358	19.303
580000	77.357	15.465
585000	81.483	6.100
590000	79.412	10.964
595000	82.581	1.783
600000	80.510	7.806
605000	79.547	8.870
610000	80.323	7.149
615000	81.080	8.716
620000	77.722	10.968
625000	80.874	5.706
630000	80.752	8.077
635000	80.258	7.345
640000	79.847	6.730
645000	82.763	1.053
650000	81.453	2.788
655000	82.358	2.162
660000	81.791	1.746
665000	82.338	1.174
670000	82.231	1.282
675000	80.928	2.900
680000	80.364	9.119
685000	82.643	1.914
690000	80.133	6.004
695000	82.671	1.067
700000	81.647	8.320
705000	79.920	9.075
710000	80.216	7.823
715000	81.364	0.989
720000	81.992	1.339
725000	81.840	5.176
730000	81.544	4.234
735000	81.065	5.281
740000	81.194	4.553
745000	81.480	2.879
750000	83.029	1.163
755000	79.769	8.518
760000	80.218	9.369
765000	81.620	4.045
770000	81.760	1.357
775000	81.966	1.505
780000	81.865	2.105
785000	82.303	1.266
790000	82.228	2.121
795000	82.200	2.506
800000	81.114	6.329
805000	79.939	6.091
810000	82.399	1.423
815000	77.344	11.514
820000	81.751	3.851
825000	82.159	0.867
830000	82.108	1.110
835000	82.412	1.633
840000	81.566	3.295
845000	80.549	5.259
850000	78.708	9.429
855000	78.894	11.306
860000	82.343	0.952
865000	82.305	1.085
870000	80.280	8.229
875000	82.085	1.323
880000	81.840	1.339
885000	81.398	5.223
890000	81.939	1.697
895000	81.453	1.134
900000	82.356	1.148
905000	82.081	1.077
910000	82.421	2.263
915000	80.416	8.915
920000	81.320	2.974
925000	82.299	1.935
930000	81.847	1.143
935000	81.891	2.980
940000	82.016	1.200
945000	82.213	1.121
950000	82.173	1.083
955000	81.200	7.104
960000	82.092	1.303
965000	81.471	4.163
970000	77.074	13.544
975000	82.068	0.958
980000	81.021	3.622
985000	79.302	8.836
990000	82.382	1.040
995000	81.539	2.250
1000000	82.258	1.175
