iteration(key)	values
500000 (returns)	5.836	14.272	6.800	5.736	19.287	0.004	0.000	0.401	0.089	10.499	0.026	0.000	7.200	3.372	0.002	0.000	0.017	0.000	0.000	7.703	0.000	0.636	0.295	0.000	0.662	0.784	0.112	7.432	5.200	7.200	7.076	0.000
1000000 (returns)	0.129	5.639	5.880	0.000	0.000	0.000	12.337	0.136	5.600	4.272	0.568	0.824	5.542	6.227	0.000	17.108	11.467	9.062	0.055	6.001	0.022	0.000	5.200	6.859	7.083	0.000	0.000	7.507	0.000	7.245	0.000	6.359
1500000 (returns)	3.277	2.967	1.691	18.686	0.258	0.000	0.000	15.204	12.098	0.539	0.000	13.579	6.000	0.000	0.000	5.156	5.059	6.753	2.959	0.000	0.012	0.000	10.202	5.771	8.890	0.000	6.000	0.682	0.000	5.732	0.000	8.802
2000000 (returns)	0.194	3.426	3.495	0.000	16.684	0.926	14.626	7.097	3.134	7.344	11.485	0.000	3.343	0.025	8.395	0.345	12.904	0.000	4.737	6.154	0.378	0.142	9.850	0.000	5.123	6.594	0.000	16.993	5.574	1.334	22.202	6.965
2500000 (returns)	7.651	22.684	0.044	0.008	0.061	0.978	12.507	0.898	7.600	2.130	9.028	23.246	16.644	2.308	0.000	0.290	9.391	2.314	0.371	0.647	8.381	0.395	0.000	7.773	11.047	8.677	0.204	0.271	0.007	0.000	4.400	0.000
3000000 (returns)	3.827	9.402	3.674	34.760	0.164	0.952	0.879	0.716	8.726	0.000	0.000	16.027	0.397	7.600	12.352	0.000	0.000	10.568	28.007	2.183	3.693	9.089	4.119	0.585	1.003	1.158	0.000	5.195	8.613	5.687	4.400	3.756
3500000 (returns)	1.935	0.000	1.487	6.765	0.000	0.000	5.580	1.068	7.110	3.385	2.503	6.165	38.938	3.911	0.000	6.465	0.369	3.040	10.887	9.033	11.823	11.092	3.528	0.000	0.584	0.002	0.000	16.213	0.000	1.310	6.876	7.573
4000000 (returns)	9.457	2.762	0.526	17.760	1.403	4.879	13.604	0.000	0.000	7.332	7.854	0.051	9.544	8.800	0.331	0.047	0.991	0.173	11.486	1.115	1.731	1.849	0.008	0.004	0.258	0.000	0.074	6.664	4.636	7.155	0.052	5.271
4500000 (returns)	29.327	5.289	0.040	0.000	0.000	4.305	7.391	3.662	7.263	12.302	0.053	1.576	8.231	17.043	0.479	0.000	0.247	3.572	0.000	0.000	0.019	0.088	2.366	4.275	0.027	1.076	7.357	0.101	8.562	0.007	2.068	4.118
5000000 (returns)	39.465	25.637	0.369	13.903	7.421	0.000	1.543	0.000	13.326	3.328	3.215	4.800	4.044	12.001	0.439	21.863	4.709	0.115	12.240	7.619	9.569	0.023	7.470	8.244	0.006	0.001	0.195	0.001	16.221	5.501	26.080	3.767
5500000 (returns)	0.150	2.460	0.835	6.040	0.052	5.424	0.000	7.734	1.668	58.393	5.698	6.114	0.164	24.377	0.000	12.080	7.518	0.134	12.913	19.188	7.000	0.094	0.000	4.800	1.004	1.377	51.588	1.375	0.995	1.971	0.880	6.331
6000000 (returns)	13.137	6.246	0.000	8.568	0.186	38.419	0.000	0.400	0.000	7.544	0.121	5.349	7.381	14.891	0.028	5.800	4.553	27.296	10.486	0.273	9.163	7.049	15.858	2.401	1.411	16.184	3.238	2.611	0.122	18.280	13.093	0.362
6500000 (returns)	6.280	10.039	0.054	1.653	9.837	0.298	5.366	11.740	0.126	0.000	0.622	12.253	10.945	6.724	0.795	5.528	0.118	0.000	11.354	0.000	4.242	0.000	0.005	0.000	0.000	26.070	1.291	0.144	0.171	6.243	0.241	1.060
7000000 (returns)	40.865	5.565	8.197	7.215	4.636	0.015	12.421	0.604	4.224	1.937	9.814	13.256	2.383	3.513	0.023	1.564	41.472	2.963	1.821	15.260	34.302	21.936	13.817	19.480	0.093	0.000	0.004	0.142	0.345	6.436	10.343	14.552
7500000 (returns)	22.533	0.000	10.386	3.074	0.095	9.845	7.331	0.123	6.857	3.354	12.832	2.196	0.052	24.488	7.477	3.823	0.000	5.200	0.000	5.175	53.929	13.100	0.042	4.089	16.635	6.027	0.000	3.968	10.012	6.810	5.647	0.000
8000000 (returns)	7.565	3.456	30.803	9.209	11.485	3.307	16.184	6.614	6.716	0.577	0.178	5.080	7.510	7.744	9.200	9.286	11.400	2.827	12.801	6.975	0.015	0.000	0.231	30.567	0.001	6.418	0.000	12.925	1.119	25.900	0.071	1.659
8500000 (returns)	3.587	0.616	4.010	0.000	8.065	3.348	2.912	7.491	3.514	3.754	2.085	9.114	6.258	6.400	2.747	1.086	6.462	1.722	1.834	2.063	10.124	6.141	0.096	6.115	0.000	0.001	0.000	1.282	7.857	4.440	0.131	0.000
9000000 (returns)	0.000	18.527	0.000	7.799	0.000	0.007	0.100	10.435	0.732	2.336	0.000	19.943	6.991	6.607	3.070	0.018	0.212	4.697	11.914	7.099	36.579	11.328	12.480	0.000	7.053	0.037	17.200	14.348	0.000	0.000	0.129	3.595
9500000 (returns)	10.692	34.287	0.000	10.431	10.995	0.393	10.342	0.275	16.861	8.363	0.624	0.097	7.048	8.021	0.000	23.598	1.692	0.583	12.862	6.414	0.033	6.329	0.811	6.386	2.345	8.884	7.209	17.013	0.000	0.799	8.947	2.718
10000000 (returns)	0.593	3.878	11.969	3.605	6.204	0.002	1.662	29.633	6.235	39.829	0.210	22.179	16.094	2.634	21.246	9.821	3.462	0.721	0.525	0.000	0.000	0.306	6.311	0.209	5.604	0.078	1.281	0.000	7.140	2.902	0.001	0.883
10500000 (returns)	14.506	8.617	4.463	3.949	16.128	11.994	21.781	0.000	8.015	6.879	8.026	2.836	8.694	7.411	4.227	0.929	16.666	39.205	24.898	20.517	8.846	0.000	0.228	9.280	31.786	30.909	23.656	45.799	6.508	0.026	4.622	6.889
11000000 (returns)	56.710	0.015	10.510	8.217	3.552	0.267	6.645	1.594	0.491	0.000	0.126	3.722	17.269	0.119	0.153	1.282	0.000	36.838	9.571	9.295	15.725	0.063	14.457	0.000	38.267	0.804	2.332	0.000	7.542	12.846	0.280	10.445
11500000 (returns)	1.242	5.061	5.406	0.000	15.474	7.428	20.775	11.448	24.801	0.001	0.024	1.943	8.082	4.240	6.774	13.394	8.222	11.392	7.655	0.014	18.460	0.000	14.550	2.462	16.622	0.000	19.185	0.000	1.423	2.685	0.115	9.462
12000000 (returns)	20.331	0.025	5.818	17.141	17.618	7.494	1.736	1.331	0.031	40.290	8.660	0.042	0.000	7.278	4.407	2.488	3.042	11.128	3.235	7.228	0.000	0.337	22.272	1.660	19.347	13.972	2.935	13.577	18.266	29.124	9.590	6.500
12500000 (returns)	28.581	9.179	5.435	1.424	0.032	19.393	13.170	4.136	8.260	1.288	0.878	4.923	0.000	3.471	0.000	1.814	7.114	0.597	25.813	0.131	0.000	0.000	0.000	4.003	3.399	19.140	0.408	4.020	6.704	6.145	0.707	8.051
13000000 (returns)	10.129	7.955	2.331	7.941	7.262	3.592	16.271	0.243	0.000	9.023	15.988	1.327	0.643	17.660	3.631	0.706	7.118	0.069	11.604	2.277	0.894	17.403	3.807	9.792	20.079	24.155	7.855	5.710	51.830	2.346	0.000	9.604
13500000 (returns)	13.661	0.221	6.894	10.600	7.687	0.027	3.442	15.548	10.122	7.190	37.489	1.015	18.071	12.449	8.101	0.298	6.602	10.999	0.046	11.856	0.471	37.805	11.324	0.000	6.130	1.792	2.440	10.702	0.000	0.841	14.619	0.252
14000000 (returns)	18.437	0.071	18.771	6.601	10.960	14.559	20.341	15.952	12.512	8.551	13.103	13.375	5.321	0.429	16.666	7.507	0.069	3.515	9.453	39.234	9.176	0.000	13.502	0.525	12.857	52.966	31.170	0.056	24.774	9.225	0.144	36.630
