iteration(key)	values
250000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
500000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
750000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1000000 (returns)	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1250000 (returns)	24.000	19.000	27.000	21.000	35.000	4.000	37.000	30.000	9.000	26.000	13.000	23.000	21.000	37.000	12.000	32.000	34.000	24.000	25.000	14.000	26.000	21.000	23.000	41.000	29.000	27.000	27.000	1.000	25.000	33.000	16.000	19.000	18.000	3.000	11.000	26.000	34.000
1500000 (returns)	14.000	28.000	12.000	15.000	3.000	13.000	105.000	25.000	69.000	16.000	45.000	26.000	11.000	18.000	33.000	15.000	3.000	5.000	15.000	21.000	50.000	7.000	1.000	6.000	90.000	16.000	25.000	30.000	11.000	13.000	8.000	44.000	29.000	21.000	15.000	8.000	15.000
1750000 (returns)	141.000	144.000	132.000	138.000	306.000	126.000	111.000	118.000	99.000	144.000	125.000	153.000	191.000	148.000	112.000	123.000	144.000	133.000	147.000	101.000	129.000	139.000	191.000	130.000	198.000	123.000	142.000	124.000	113.000	227.000	136.000	156.000	129.000	175.000	113.000
2000000 (returns)	434.000	454.000	487.000	479.000	459.000	421.000	477.000	434.000	441.000	451.000	438.000	841.000	408.000	693.000	426.000	710.000
2250000 (returns)	943.000	774.000	606.000	468.000	1006.000	654.000	689.000	459.000	784.000	748.000	996.000	626.000
2500000 (returns)	936.000	412.000	483.000	983.000	785.000	694.000	760.000	767.000	311.000	757.000	406.000	753.000
2750000 (returns)	1067.000	1032.000	766.000	1064.000	1249.000	1099.000	1043.000	1095.000	474.000
3000000 (returns)	1349.000	1098.000	1095.000	1079.000	1018.000	1099.000	1066.000	1082.000	1077.000
3250000 (returns)	798.000	1095.000	199.000	1094.000	769.000	796.000	1072.000	1093.000	797.000	798.000	1095.000
3500000 (returns)	1335.000	1866.000	1074.000	1394.000	1073.000	1978.000	1369.000
3750000 (returns)	1935.000	2269.000	1897.000	1903.000	1963.000
4000000 (returns)	1990.000	1662.000	1092.000	2298.000	1979.000	1098.000
4250000 (returns)	489.000	1398.000	1658.000	1878.000	1914.000	1693.000
4500000 (returns)	1378.000	1689.000	1684.000	2167.000	1899.000
4750000 (returns)	1087.000	1075.000	1907.000	1388.000	1095.000	1698.000	1029.000
5000000 (returns)	1922.000	1998.000	1079.000	499.000	4678.000
5250000 (returns)	2238.000	1696.000	1990.000	1390.000	1083.000
5500000 (returns)	1099.000	1943.000	1959.000	1678.000	1889.000	1097.000
5750000 (returns)	1972.000	1691.000	2547.000	1964.000	1984.000
6000000 (returns)	1092.000	1624.000	1053.000	1063.000	1332.000	1399.000	1058.000	1398.000
6250000 (returns)	493.000	2240.000	1991.000	1907.000	1698.000	1699.000
6500000 (returns)	1981.000	2298.000	2235.000	1995.000	1812.000
6750000 (returns)	1378.000	1999.000	1365.000	798.000	2535.000	1358.000
7000000 (returns)	1399.000	1696.000	799.000	1398.000	1699.000	1396.000	1398.000
7250000 (returns)	1099.000	1983.000	1055.000	1071.000	1098.000	1398.000	1653.000
7500000 (returns)	1997.000	1086.000	1398.000	1398.000	2185.000	1397.000
7750000 (returns)	1677.000	1034.000	1359.000	1983.000	1397.000	1976.000
8000000 (returns)	4617.000	2276.000	1999.000	1990.000
8250000 (returns)	1098.000	1699.000	499.000	1399.000	796.000	799.000	1989.000	799.000
8500000 (returns)	2544.000	2238.000	1699.000	1884.000
8750000 (returns)	1991.000	1086.000	1398.000	1977.000	1089.000	2568.000
9000000 (returns)	1940.000	1641.000	1340.000	1987.000	1696.000
9250000 (returns)	1987.000	1955.000	1991.000	1999.000	1371.000
9500000 (returns)	1893.000	4919.000	1097.000	1643.000	1075.000
9750000 (returns)	2175.000	2576.000	2558.000	4666.000
10000000 (returns)	2205.000	1393.000	1906.000	1051.000	1990.000	1093.000
10250000 (returns)	1992.000	198.000	188.000	1938.000	193.000	4793.000	1398.000
10500000 (returns)	4691.000	1967.000	2492.000	1984.000
10750000 (returns)	1075.000	2280.000	2280.000	1999.000	2286.000
11000000 (returns)	2270.000	190.000	2247.000	4670.000
11250000 (returns)	1979.000	2524.000	2261.000	5232.000
11500000 (returns)	1090.000	2282.000	1919.000	2583.000	1665.000	499.000
11750000 (returns)	2187.000	4675.000	2236.000	1396.000	1696.000
12000000 (returns)	1097.000	198.000	1094.000	1094.000	497.000	1096.000	795.000	1095.000	1986.000
12250000 (returns)	2149.000	1995.000	2578.000	1983.000
12500000 (returns)	1984.000	4900.000	1694.000	2280.000
12750000 (returns)	2277.000	2546.000	1925.000	2243.000
13000000 (returns)	1926.000	1042.000	1641.000	1985.000	1693.000	1994.000
13250000 (returns)	2517.000	1082.000	1362.000	5274.000
13500000 (returns)	1997.000	4670.000	1684.000	1975.000	1972.000
13750000 (returns)	1369.000	1949.000	2287.000	1080.000	1382.000	1956.000
14000000 (returns)	2596.000	1968.000	1091.000	1860.000	1916.000
14250000 (returns)	4666.000	2255.000	4683.000	1685.000
14500000 (returns)	1914.000	2246.000	2587.000	2555.000
14750000 (returns)	1974.000	4919.000	2588.000	2273.000
15000000 (returns)	1688.000	2244.000	2294.000	4989.000	1099.000
15250000 (returns)	1390.000	1997.000	1697.000	1975.000	791.000	1083.000
15500000 (returns)	1930.000	1608.000	1905.000	2286.000	1919.000
15750000 (returns)	1387.000	2245.000	2550.000	2580.000	1652.000
16000000 (returns)	2242.000	2219.000	4676.000	1966.000
16250000 (returns)	1650.000	1960.000	1969.000	1979.000	1946.000
16500000 (returns)	785.000	1353.000	1097.000	1946.000	2248.000	2293.000
16750000 (returns)	1980.000	2232.000	1917.000	2291.000	1689.000
17000000 (returns)	7351.000	1987.000	2267.000
17250000 (returns)	797.000	1043.000	1096.000	2597.000	1089.000	1918.000	1092.000
17500000 (returns)	1936.000	1610.000	2241.000	2566.000	1895.000
17750000 (returns)	2202.000	1024.000	1085.000	2594.000	1343.000
18000000 (returns)	1676.000	1979.000	1989.000	2507.000	1984.000
18250000 (returns)	2275.000	1383.000	1636.000	1699.000	1692.000	1662.000
18500000 (returns)	1051.000	1672.000	492.000	1080.000	1067.000	1394.000	492.000	466.000	1692.000
18750000 (returns)	2274.000	1977.000	5193.000	2598.000
19000000 (returns)	1928.000	1990.000	1940.000	4960.000
19250000 (returns)	1691.000	2247.000	2273.000	2262.000	1979.000
19500000 (returns)	1906.000	1926.000	1946.000	1925.000	2298.000
19750000 (returns)	2529.000	4685.000	2575.000	1925.000
20000000 (returns)	1990.000	1981.000	2593.000	2272.000
20250000 (returns)	1370.000	1081.000	1966.000	2590.000	2595.000
20500000 (returns)	494.000	1376.000	1961.000	766.000	1370.000	1342.000	1949.000	770.000
20750000 (returns)	494.000	1968.000	498.000	1678.000	1362.000	1393.000	2063.000
21000000 (returns)	4662.000	4981.000	2227.000
21250000 (returns)	2296.000	1988.000	1980.000	1382.000	2589.000
21500000 (returns)	4643.000	1999.000	1695.000	1664.000	1981.000
21750000 (returns)	1674.000	1393.000	1954.000	497.000	1372.000	793.000	1340.000
22000000 (returns)	791.000	1990.000	4649.000	1961.000	1988.000
22250000 (returns)	1396.000	2254.000	1990.000	2287.000	1949.000
22500000 (returns)	4962.000	1390.000	1881.000	2572.000
22750000 (returns)	4682.000	2545.000	2268.000	2256.000
23000000 (returns)	2218.000	2270.000	2284.000	1094.000	1975.000
23250000 (returns)	1951.000	5495.000	1099.000	1361.000	1976.000
23500000 (returns)	1952.000	2293.000	2289.000	1677.000
23750000 (returns)	1395.000	1966.000	1996.000	1091.000	2268.000
24000000 (returns)	4658.000	4551.000	2294.000	2576.000
24250000 (returns)	1950.000	493.000	1972.000	2251.000	1376.000	1394.000
24500000 (returns)	1970.000	1392.000	1098.000	1987.000	1397.000	2218.000
24750000 (returns)	1988.000	1089.000	1955.000	297.000	1972.000	1089.000	376.000
25000000 (returns)	4652.000	1956.000	1083.000	1096.000	4623.000
25250000 (returns)	2264.000	1087.000	791.000	1391.000	1099.000	1095.000	1398.000
25500000 (returns)	2159.000	1399.000	1098.000	1390.000	2287.000	1895.000
25750000 (returns)	1915.000	1997.000	2266.000	1387.000	1680.000
26000000 (returns)	1924.000	2131.000	1395.000	1695.000	1686.000
26250000 (returns)	1920.000	1953.000	1897.000	1994.000	2284.000
26500000 (returns)	4483.000	1982.000	1054.000	1990.000	1085.000
26750000 (returns)	4914.000	2537.000	2590.000
27000000 (returns)	2528.000	1691.000	772.000	1058.000	2588.000	1092.000
27250000 (returns)	4929.000	1951.000	2599.000	1997.000
27500000 (returns)	1065.000	1391.000	2288.000	1392.000	1644.000	2574.000
27750000 (returns)	1967.000	1096.000	1676.000	1997.000	1974.000	1615.000
28000000 (returns)	1862.000	1968.000	2206.000	1022.000	1836.000
28250000 (returns)	2270.000	2274.000	2565.000	5238.000
28500000 (returns)	1971.000	1390.000	2260.000	2281.000	1692.000
28750000 (returns)	1091.000	490.000	1692.000	1087.000	499.000	495.000	192.000	1398.000	2291.000
29000000 (returns)	1979.000	2296.000	1995.000	2261.000	1982.000
29250000 (returns)	1887.000	1983.000	1692.000	2506.000
29500000 (returns)	1685.000	1939.000	1902.000	1688.000	1091.000	1371.000
29750000 (returns)	2539.000	1389.000	1985.000	2252.000	1956.000
30000000 (returns)	4640.000	2152.000	1977.000	1393.000
30250000 (returns)	1031.000	2489.000	1968.000	1989.000	4654.000
30500000 (returns)	4832.000	1953.000	1698.000	2291.000
30750000 (returns)	1926.000	1996.000	1977.000	1999.000	1688.000
31000000 (returns)	1697.000	1080.000	2275.000	1999.000	2297.000
31250000 (returns)	1904.000	1943.000	1949.000	1964.000	1683.000
31500000 (returns)	1694.000	786.000	1066.000	1083.000	1355.000	1356.000	1687.000	1095.000
31750000 (returns)	798.000	1699.000	199.000	785.000	1659.000	1091.000	1094.000	798.000	1391.000
32000000 (returns)	1995.000	1989.000	1095.000	1987.000	1991.000
32250000 (returns)	4689.000	2543.000	797.000	4979.000	1099.000
32500000 (returns)	2239.000	2286.000	4643.000	4627.000
32750000 (returns)	2291.000	2279.000	5891.000
33000000 (returns)	1968.000	1974.000	1390.000	4656.000	1951.000
33250000 (returns)	2279.000	1963.000	1999.000	1694.000	2270.000
33500000 (returns)	2177.000	2222.000	1472.000	1321.000	1380.000
33750000 (returns)	2591.000	1943.000	2574.000	1986.000
34000000 (returns)	4997.000	1984.000	2287.000	1959.000	490.000
34250000 (returns)	1973.000	2257.000	1399.000	799.000	1692.000	795.000	1097.000
34500000 (returns)	4956.000	2263.000	1698.000	1997.000	1370.000
34750000 (returns)	1999.000	1041.000	1672.000	1668.000	2284.000
35000000 (returns)	1944.000	1687.000	1942.000	1963.000	2581.000
35250000 (returns)	1397.000	1968.000	1684.000	1392.000	1684.000	2278.000
35500000 (returns)	427.000	301.000	371.000	1099.000	317.000	196.000	169.000	324.000	148.000	402.000	377.000	232.000	286.000	247.000	325.000	484.000	376.000
35750000 (returns)	2288.000	1999.000	2249.000	1974.000
36000000 (returns)	794.000	1688.000	2224.000	1093.000	1387.000	1993.000	1090.000
36250000 (returns)	1902.000	1385.000	1966.000	2276.000	1382.000	1090.000
36500000 (returns)	483.000	1876.000	2256.000	1882.000	784.000	1087.000
36750000 (returns)	4991.000	793.000	5566.000	2288.000
37000000 (returns)	2551.000	1930.000	1951.000	2519.000
37250000 (returns)	1085.000	2232.000	1657.000	1941.000	1022.000	1998.000
37500000 (returns)	1999.000	1969.000	2292.000	1936.000	479.000
37750000 (returns)	1993.000	1975.000	1084.000	1685.000	1699.000	1944.000
38000000 (returns)	2285.000	5272.000	6109.000
38250000 (returns)	1991.000	1991.000	1395.000	2290.000	2599.000	198.000
38500000 (returns)	1399.000	1098.000	1098.000	1398.000	2598.000	1697.000	499.000
38750000 (returns)	2261.000	2493.000	1390.000	1095.000	1398.000	1048.000
39000000 (returns)	1978.000	1995.000	4637.000	1975.000
39250000 (returns)	495.000	2286.000	1396.000	1672.000	2209.000	1992.000
39500000 (returns)	2271.000	4681.000	2297.000	499.000	1969.000
39750000 (returns)	1981.000	2288.000	1386.000	2288.000	1098.000	787.000
