iteration	mean	std_dev
5000	17.840	12.648
10000	15.574	13.230
15000	28.108	13.553
20000	35.163	8.545
25000	31.142	11.854
30000	35.198	9.851
35000	36.973	9.889
40000	40.112	7.686
45000	38.847	10.305
50000	41.388	7.150
55000	40.869	7.797
60000	43.589	1.514
65000	43.425	3.636
70000	42.769	6.038
75000	44.695	0.833
80000	44.136	3.804
85000	44.039	2.558
90000	45.125	1.285
95000	45.247	0.926
100000	45.565	0.863
105000	45.309	0.860
110000	45.021	0.781
115000	45.718	0.847
120000	45.894	0.862
125000	45.215	0.730
130000	45.933	0.834
135000	45.696	0.726
140000	46.072	0.655
145000	46.160	0.831
150000	45.902	0.595
155000	45.862	0.786
160000	45.936	0.674
165000	45.933	0.811
170000	46.342	0.633
175000	46.084	0.664
180000	46.337	0.934
185000	46.416	0.721
190000	46.165	0.893
195000	46.281	0.781
200000	46.276	0.709
205000	46.405	0.667
210000	46.078	0.910
215000	46.512	0.787
220000	46.736	0.760
225000	46.555	0.654
230000	46.427	0.538
235000	46.540	0.654
240000	46.794	0.695
245000	46.541	0.773
250000	45.943	0.604
255000	46.207	0.687
260000	46.788	0.670
265000	46.405	0.497
270000	46.598	0.718
275000	46.552	0.740
280000	46.683	0.794
285000	46.766	0.671
290000	46.916	0.567
295000	46.697	0.748
300000	46.705	0.634
305000	46.641	0.882
310000	46.776	0.757
315000	46.906	0.855
320000	47.103	0.606
325000	45.346	5.844
330000	46.483	0.624
335000	46.664	0.774
340000	46.944	0.653
345000	46.694	0.763
350000	46.442	0.570
355000	46.744	0.535
360000	46.902	0.674
365000	46.585	0.754
370000	46.593	0.592
375000	46.829	0.703
380000	46.600	0.664
385000	46.857	0.653
390000	46.798	0.627
395000	47.008	0.739
400000	46.589	0.868
405000	46.977	0.561
410000	46.898	0.757
415000	47.060	0.512
420000	46.819	0.791
425000	46.884	0.674
430000	46.874	0.654
435000	46.818	0.695
440000	46.872	0.547
445000	47.081	0.592
450000	46.871	0.832
455000	47.022	0.925
460000	46.816	0.567
465000	46.876	0.518
470000	46.787	0.732
475000	46.687	0.626
480000	47.228	0.698
485000	46.695	0.503
490000	47.035	0.638
495000	46.963	0.797
500000	46.956	0.629
505000	46.994	0.767
510000	46.984	0.845
515000	46.811	0.631
520000	46.761	0.666
525000	46.842	0.664
530000	46.896	0.704
535000	47.085	0.767
540000	46.953	0.619
545000	47.283	0.781
550000	46.794	0.629
555000	46.953	0.555
560000	46.848	0.552
565000	47.047	0.633
570000	47.301	0.635
575000	46.947	0.715
580000	47.073	0.731
585000	47.047	0.520
590000	47.205	0.757
595000	47.447	0.618
600000	47.133	0.841
605000	47.093	0.564
610000	47.003	0.648
615000	47.574	0.753
620000	46.906	0.705
625000	47.047	0.732
630000	47.502	0.614
635000	47.145	0.636
640000	47.215	0.623
645000	47.396	0.710
650000	47.201	0.770
655000	47.100	0.789
660000	47.086	0.551
665000	47.015	0.689
670000	47.205	0.599
675000	47.144	0.720
680000	47.340	0.701
685000	47.079	0.569
690000	47.105	0.564
695000	47.250	0.826
700000	47.192	0.718
705000	47.261	0.619
710000	47.004	0.769
715000	47.174	0.781
720000	47.172	0.699
725000	47.002	0.530
730000	47.348	0.664
735000	47.112	0.803
740000	47.362	0.526
745000	47.025	0.793
750000	47.196	0.531
755000	47.088	0.587
760000	47.397	0.561
765000	47.342	0.664
770000	47.070	0.709
775000	47.246	0.672
780000	47.504	0.610
785000	47.301	0.787
790000	47.185	0.824
795000	47.417	0.725
800000	47.201	0.682
805000	47.298	0.538
810000	47.153	0.762
815000	47.468	0.533
820000	47.296	0.603
825000	47.260	0.819
830000	47.133	0.574
835000	47.275	0.689
840000	47.373	0.653
845000	47.249	0.643
850000	47.254	0.564
855000	47.230	0.421
860000	47.201	0.700
865000	47.482	0.694
870000	47.154	0.664
875000	47.334	0.754
880000	47.308	0.696
885000	47.442	0.652
890000	47.284	0.604
895000	47.602	0.568
900000	47.203	0.697
905000	47.433	0.793
910000	47.276	0.592
915000	47.395	0.683
920000	47.278	0.611
925000	47.446	0.611
930000	47.158	0.702
935000	47.311	0.679
940000	47.161	0.617
945000	47.171	0.710
950000	47.113	0.579
955000	47.407	0.537
960000	47.222	0.766
965000	47.491	0.825
970000	47.185	0.462
975000	47.271	0.528
980000	47.362	0.846
985000	47.494	0.608
990000	47.180	0.736
995000	47.258	0.485
1000000	47.285	0.580
