iteration	mean	std_dev
5000	12.167	0.802
10000	26.273	5.101
15000	27.020	4.354
20000	22.194	6.276
25000	35.656	12.801
30000	27.368	3.183
35000	30.164	8.119
40000	23.450	1.122
45000	22.783	0.280
50000	33.799	8.909
55000	31.955	8.210
60000	48.715	16.117
65000	41.389	3.710
70000	40.526	5.067
75000	41.698	6.662
80000	41.715	7.900
85000	40.014	5.442
90000	61.705	27.033
95000	46.232	5.270
100000	41.755	5.622
105000	53.913	15.363
110000	48.948	7.566
115000	33.426	12.084
120000	53.051	10.603
125000	51.864	9.723
130000	47.840	6.689
135000	47.867	7.868
140000	55.571	18.325
145000	51.146	9.968
150000	47.234	4.744
155000	63.149	28.234
160000	46.061	8.554
165000	54.334	26.518
170000	52.627	15.590
175000	70.960	25.988
180000	47.934	13.181
185000	62.500	26.643
190000	59.277	16.878
195000	57.931	16.861
200000	48.041	11.078
205000	51.064	13.893
210000	51.408	14.864
215000	49.327	7.858
220000	44.779	6.258
225000	52.528	12.862
230000	50.190	11.859
235000	44.723	7.383
240000	55.291	13.476
245000	53.030	9.749
250000	74.188	27.397
255000	71.202	20.615
260000	59.373	27.234
265000	51.462	11.194
270000	52.865	14.604
275000	48.950	15.299
280000	45.928	15.089
285000	58.691	18.133
290000	60.908	18.716
295000	48.715	8.899
300000	49.176	16.943
305000	72.013	25.903
310000	54.394	11.964
315000	49.958	8.921
320000	51.313	12.807
325000	62.393	15.617
330000	61.309	27.629
335000	68.316	20.274
340000	72.957	21.458
345000	73.716	25.488
350000	43.085	12.550
355000	56.157	16.226
360000	53.201	18.233
365000	69.905	24.075
370000	73.350	24.003
375000	73.494	28.271
380000	54.462	14.159
385000	66.844	25.215
390000	63.542	18.435
395000	72.711	20.079
400000	59.418	21.543
405000	65.053	24.512
410000	61.404	23.640
415000	76.561	23.106
420000	67.709	25.747
425000	67.814	29.117
430000	63.083	22.805
435000	67.896	22.977
440000	68.580	17.032
445000	67.711	24.260
450000	64.275	25.691
455000	48.511	13.326
460000	59.029	17.590
465000	58.697	21.788
470000	67.531	22.386
475000	56.665	19.199
480000	83.090	21.001
485000	82.336	18.779
490000	61.645	25.237
495000	69.948	22.653
500000	71.916	21.513
505000	45.854	10.231
510000	74.047	20.597
515000	63.199	22.596
520000	67.770	17.249
525000	63.223	27.290
530000	80.903	22.127
535000	73.618	20.162
540000	52.972	14.812
545000	68.770	22.045
550000	68.308	25.456
555000	76.151	19.374
560000	77.926	24.942
565000	63.517	14.341
570000	76.349	26.500
575000	58.121	20.880
580000	76.325	23.773
585000	73.927	24.539
590000	81.647	21.211
595000	77.446	21.795
600000	80.795	22.297
605000	81.974	16.766
610000	90.355	18.502
615000	60.402	22.160
620000	79.610	20.922
625000	75.983	24.003
630000	71.370	20.623
635000	54.614	26.689
640000	74.795	25.694
645000	57.855	22.765
650000	81.457	25.191
655000	75.388	27.240
660000	93.492	14.716
665000	88.157	18.281
670000	58.500	20.108
675000	97.456	11.604
680000	60.985	18.853
685000	86.746	17.524
690000	70.914	27.124
695000	75.729	23.409
700000	72.508	25.697
705000	84.080	23.836
710000	85.046	20.432
715000	88.512	18.293
720000	89.490	17.068
725000	88.890	20.037
730000	73.179	26.399
735000	89.500	14.771
740000	78.849	27.060
745000	73.614	23.261
750000	86.758	17.968
755000	85.799	19.899
760000	78.666	22.300
765000	83.241	19.802
770000	88.266	20.170
775000	78.955	23.754
780000	78.701	23.083
785000	81.113	22.947
790000	93.923	13.576
795000	91.208	18.739
800000	90.133	18.250
805000	79.532	22.124
810000	81.803	21.619
815000	82.922	25.374
820000	91.729	14.552
825000	74.929	24.746
830000	83.119	20.276
835000	93.690	16.263
840000	93.786	13.599
845000	74.231	24.411
850000	75.793	22.456
855000	81.582	21.262
860000	86.147	20.785
865000	79.369	22.157
870000	77.143	23.577
875000	94.901	12.204
880000	84.712	18.091
885000	87.905	18.098
890000	83.318	20.072
895000	81.901	22.132
900000	89.148	19.308
905000	78.799	25.251
910000	94.964	12.769
915000	81.202	19.657
920000	87.446	20.184
925000	95.046	11.506
930000	85.737	20.500
935000	90.606	20.171
940000	89.549	16.090
945000	95.184	13.632
950000	89.652	18.154
955000	91.087	21.399
960000	86.603	18.208
965000	90.889	18.109
970000	90.754	17.322
975000	88.936	20.244
980000	90.273	17.204
985000	93.776	17.385
990000	91.885	14.381
995000	89.534	18.997
1000000	89.871	20.149
