iteration(key)	values
500000 (returns)	587.231	573.073	580.002	571.831	590.011	576.682	593.974	593.367	594.021	581.840	579.178	581.020	575.856	588.060	580.731	586.545	584.505	579.471	577.532	584.082	592.301	578.142	593.309	587.671	591.747	567.195	571.560	594.207	580.724	594.112	584.055	580.807
1000000 (returns)	587.541	594.216	562.463	594.784	566.660	575.786	572.709	586.927	575.010	574.748	565.406	593.793	578.976	594.396	566.242	594.534	577.497	573.540	567.115	572.341	590.146	581.223	579.980	592.935	592.389	584.851	593.707	574.179	593.020	576.630	570.055	577.602
1500000 (returns)	572.847	584.214	583.769	584.193	588.176	578.881	576.078	560.341	565.522	579.768	584.651	561.390	579.804	589.410	579.142	586.363	575.765	576.543	588.684	577.149	586.219	577.084	584.418	565.758	591.647	562.959	580.522	561.683	570.933	575.769	577.037	572.096
2000000 (returns)	560.842	586.285	581.291	560.902	568.291	582.193	576.829	367.493	556.934	559.058	583.258	567.576	584.961	566.148	581.656	561.622	575.343	584.354	561.403	582.036	576.349	583.613	564.151	587.445	574.995	564.748	583.231	581.442	576.731	570.127	581.420	584.841
2500000 (returns)	581.469	584.969	583.065	564.056	583.415	577.044	584.669	583.102	580.120	584.670	584.122	584.545	573.546	582.508	581.524	577.325	584.982	572.343	575.972	572.996	565.159	573.383	580.818	575.438	570.393	566.848	579.830	572.207	580.918	585.084	562.349	582.827
3000000 (returns)	555.950	580.074	561.681	583.979	567.882	561.278	576.478	577.832	583.950	576.343	579.763	572.074	558.774	570.612	572.762	567.346	565.142	573.055	560.116	576.020	562.054	565.991	565.616	578.933	568.097	580.108	557.720	568.376	576.395	582.361	562.889	579.062
3500000 (returns)	582.528	558.049	578.923	567.937	416.856	557.334	578.799	567.288	562.971	584.152	572.095	575.683	581.886	577.486	417.082	576.607	586.166	576.150	560.572	577.090	575.395	576.845	586.049	581.597	569.031	569.019	569.586	570.672	567.313	576.886	568.262	571.693
4000000 (returns)	585.990	573.464	563.204	569.404	561.791	560.694	586.460	582.442	586.099	573.731	574.837	560.141	582.926	582.583	565.813	559.701	576.155	578.816	574.801	582.968	582.534	574.107	562.006	569.606	561.276	565.367	573.054	566.805	576.295	575.675	581.036	576.256
4500000 (returns)	575.891	576.310	585.560	560.478	585.435	566.469	568.260	567.621	580.926	571.436	553.521	577.001	571.199	580.753	564.505	564.001	580.354	576.254	567.363	580.430	564.907	574.156	576.154	565.316	580.982	581.211	556.251	576.283	577.119	563.131	565.989	564.239
5000000 (returns)	569.671	558.972	573.886	548.327	554.501	571.888	565.437	556.649	576.730	575.615	561.693	576.964	558.037	564.485	564.953	565.448	568.642	579.499	550.098	577.271	565.433	577.452	573.587	560.676	580.211	567.128	563.416	569.078	568.608	563.456	574.401	553.985
5500000 (returns)	576.229	580.767	579.077	563.926	568.017	573.251	563.331	576.967	565.544	580.522	578.795	575.886	563.698	572.666	571.816	567.538	573.456	564.623	557.442	566.074	582.356	580.784	562.639	582.459	571.561	564.205	558.594	575.797	569.288	570.144	563.411	576.083
6000000 (returns)	567.411	569.788	562.215	553.862	567.895	576.376	572.960	563.880	573.655	580.019	568.212	566.719	562.567	575.138	562.264	562.597	556.922	558.109	577.715	563.044	578.533	572.082	564.611	574.963	553.137	568.990	582.804	575.352	558.644	561.291	576.009	552.556
6500000 (returns)	577.585	570.984	570.028	572.664	567.837	572.200	553.426	564.553	566.888	559.731	576.587	565.530	560.667	566.371	571.629	573.728	561.596	560.460	565.472	571.738	570.164	570.786	571.606	555.512	572.075	570.191	559.016	569.078	571.972	567.475	571.916	571.623
7000000 (returns)	565.294	565.312	571.440	559.546	557.831	571.723	574.204	561.831	571.394	561.864	576.140	565.064	572.587	572.111	569.867	574.876	568.157	572.789	557.744	563.609	571.149	568.569	559.206	572.147	556.143	572.180	569.905	562.603	572.410	571.730	556.773	559.820
7500000 (returns)	566.452	556.557	569.369	554.914	552.696	568.061	566.368	556.326	569.331	552.672	555.355	548.082	564.313	551.353	551.365	556.004	571.366	571.033	557.678	552.586	568.595	557.055	556.351	572.580	566.496	570.036	570.144	566.762	570.956	569.308	557.386	560.759
8000000 (returns)	565.167	559.257	570.433	553.785	566.701	574.256	561.488	570.040	573.868	549.127	561.566	569.612	548.511	570.126	577.183	550.901	555.770	552.237	553.002	573.972	577.817	572.625	573.844	570.351	553.880	557.992	548.450	569.877	566.950	556.520	567.614	561.504
8500000 (returns)	539.528	557.211	552.845	537.413	572.652	564.669	534.734	573.942	572.306	555.374	551.579	567.492	535.377	544.510	538.012	540.892	539.749	569.250	535.534	569.144	563.565	536.874	568.875	547.448	554.263	555.439	551.064	539.657	563.480	548.135	572.185	569.380
9000000 (returns)	560.732	570.549	574.018	515.824	537.862	551.018	535.664	561.111	536.889	534.144	557.149	543.123	541.180	544.146	557.195	571.291	534.321	566.712	539.674	556.951	531.209	518.233	569.148	522.856	535.037	559.122	567.424	509.238	535.294	537.039	570.190	558.587
